site_number,transect,date_processed,species,sample_number,sex_raw_diff,test_height_mm_raw_diff,test_diameter_mm_raw_diff,animal_wet_mass_g_raw_diff,gonad_mass_g_raw_diff,resolved
MAR06,2,2024-06-13,red_urchin,64,NA,36.7 ≠ 36,NA,NA,NA,
MAR06,1,2024-06-13,purple_urchin,52,NA,20 ≠ 20.1,NA,NA,NA,
REC01_BAR,Shallow,2024-08-20,purple_urchin,46,NA,NA,92.5 ≠ 32.5,NA,NA,
REC01_BAR,Shallow,2024-08-20,red_urchin,21,NA,13 ≠ 3,NA,NA,NA,
REC01_BAR,Shallow,2024-08-20,red_urchin,9,male ≠ female,53 ≠ 31.5,NA,NA,NA,
REC01_BAR,Shallow,2024-08-20,red_urchin,18,NA,NA,NA,NA,2.499 ≠ 1.499,
MAR11,2,2024-07-17,purple_urchin,15,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,20,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,25,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,30,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,35,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,40,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,45,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,50,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,55,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,60,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,65,female ≠ na,NA,4709 ≠ 47.9,NA,NA,
MAR11,2,2024-07-17,purple_urchin,70,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,75,female ≠ na,NA,NA,NA,NA,
MAR11,2,2024-07-17,purple_urchin,80,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,5,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,10,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,15,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,20,female ≠ na,20.96 ≠ 20.9,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,25,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,30,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,35,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,40,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,45,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,50,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,55,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,60,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,65,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,70,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,75,female ≠ na,NA,NA,NA,NA,
MAR11,3,2024-07-17,purple_urchin,80,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,5,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,10,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,15,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,20,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,25,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,30,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,35,female ≠ na,NA,NA,NA,2.295 ≠ 2.245,
MAR11,1,2024-07-17,purple_urchin,40,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,45,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,50,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,55,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,60,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,65,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,70,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,75,female ≠ na,NA,NA,NA,NA,
MAR11,1,2024-07-17,purple_urchin,80,female ≠ na,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,5,female ≠ na,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,20,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,35,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,45,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,50,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,55,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,60,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,65,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,75,male ≠ female,NA,NA,NA,NA,
MAR09,1,2024-07-18,purple_urchin,80,male ≠ female,NA,NA,NA,NA,
MAR09,2,2024-07-18,purple_urchin,10,NA,NA,NA,NA,0.0334 ≠ 0.334,
MAR09,2,2024-07-18,purple_urchin,50,NA,NA,NA,NA,3.276 ≠ 3.273,
REC02_BAR,Deep,2024-08-08,purple_urchin,12,NA,NA,NA,NA,1.8846 ≠ 0.18846,
REC02_BAR,Deep,2024-08-08,purple_urchin,14,NA,18 ≠ 17,32 ≠ 40,NA,0.3843 ≠ 0.3001,
REC02_BAR,Deep,2024-08-08,purple_urchin,17,female ≠ na,36.5 ≠ 17,17 ≠ 36.5,NA,0.2843 ≠ 0.2842,
REC02_BAR,Deep,2024-08-08,purple_urchin,18,female ≠ na,NA,NA,NA,NA,
REC02_BAR,Deep,2024-08-08,purple_urchin,21,female ≠ na,NA,NA,NA,NA,
REC02_INCIP,Deep,2024-08-08,purple_urchin,10,male ≠ na,NA,NA,NA,NA,
REC02_INCIP,Deep,2024-08-08,purple_urchin,16,male ≠ na,NA,NA,NA,NA,
REC02_INCIP,Deep,2024-08-08,purple_urchin,21,NA,NA,NA,NA,16.11 ≠ 0.411,
REC02_INCIP,Shallow,2024-08-08,purple_urchin,2,NA,NA,NA,NA,1.285 ≠ 1.205,
REC02_INCIP,Shallow,2024-08-08,purple_urchin,10,male ≠ na,NA,NA,NA,NA,
REC02_INCIP,Shallow,2024-08-08,purple_urchin,11,NA,NA,NA,NA,0.923 ≠ 1.047,
REC02_INCIP,Shallow,2024-08-08,purple_urchin,14,NA,NA,NA,NA,1.31 ≠ 1.924,
MAR06,3,2024-09-18,purple_urchin,75,NA,34.5 ≠ 14.5,NA,NA,NA,
MAR13,1,2024-09-19,purple_urchin,5,female ≠ na,NA,NA,NA,NA,
MAR13,1,2024-09-19,purple_urchin,15,female ≠ na,NA,NA,NA,NA,
MAR13,1,2024-09-19,purple_urchin,25,female ≠ na,NA,NA,NA,NA,
MAR13,1,2024-09-19,purple_urchin,70,female ≠ na,NA,NA,NA,NA,
MAR13,1,2024-09-19,purple_urchin,80,NA,NA,NA,NA,3.934 ≠ 9.934,
MAR13,2,2024-09-19,purple_urchin,5,NA,26 ≠ 24,NA,NA,NA,
MAR13,2,2024-09-19,purple_urchin,10,female ≠ na,NA,NA,NA,0.443 ≠ 0.442,
MAR13,2,2024-09-19,purple_urchin,55,NA,NA,40 ≠ 30,NA,NA,
MAR13,2,2024-09-19,purple_urchin,70,NA,NA,NA,NA,4.521 ≠ 4.523,
MAR13,3,2024-09-19,purple_urchin,20,NA,NA,44.5 ≠ 44,NA,NA,
MAR13,3,2024-09-19,purple_urchin,50,NA,14 ≠ 19,NA,NA,NA,
MAR13,3,2024-09-19,purple_urchin,60,NA,NA,44.5 ≠ 44.4,NA,NA,
MAR09,3,2025-06-17,purple_urchin,45,NA,24.52 ≠ 25.42,NA,NA,NA,
MAR09,2,2025-06-17,purple_urchin,45,NA,16.11 ≠ 16.17,NA,NA,NA,
MAR09,1,2025-06-17,purple_urchin,65,NA,NA,45.13 ≠ 45.16,NA,NA,
MAR08,1,2025-07-03,purple_urchin,20,NA,NA,NA,NA,1.799 ≠ 1.789,
MAR08,1,2025-07-03,purple_urchin,50,male ≠ female,19.6 ≠ 21.6,45.6 ≠ 47,NA,2.331 ≠ 1.266,
MAR08,1,2025-07-03,purple_urchin,5,NA,26.12 ≠ 26.6,NA,NA,NA,
MAR08,3,2025-07-03,purple_urchin,70,NA,NA,51.6 ≠ 54.6,NA,NA,
MAR08,2,2025-07-03,purple_urchin,65,NA,24.2 ≠ 25.2,NA,NA,NA,
MAR08,2,2025-07-03,purple_urchin,75,NA,19.2 ≠ 19,NA,NA,NA,
MAR10,2,2025-08-26,purple_urchin,30,NA,NA,NA,NA,0.896 ≠ 0.596,
MAR10,2,2025-08-26,purple_urchin,45,NA,NA,28.54 ≠ 36.18,NA,NA,
