site,site_type,zone,survey_date,transect,quadrat,purple_urchins_raw_diff,purple_quadrants_sampled_raw_diff,purple_conceiled_raw_diff,purple_disease_raw_diff,red_urchins_raw_diff,red_quadrants_sampled_raw_diff,red_conceiled_raw_diff,red_disease_raw_diff,lamr_raw_diff,macr_raw_diff,macj_raw_diff,nerj_raw_diff,ptej_raw_diff,lsetj_raw_diff,eisj_raw_diff,tegula_raw_diff,tegula_quadrants_sampled_raw_diff,pomaulax_raw_diff,pomaulax_quadrants_sampled_raw_diff,relief_raw_diff,risk_raw_diff,drift_superlayer_raw_diff,upc1_raw_diff,upc2_raw_diff,upc3_raw_diff,upc4_raw_diff,upc5_raw_diff,upc6_raw_diff,upc7_raw_diff,upc8_raw_diff,substrate_raw_diff
REC_01,BAR,Shallow,2024-08-19,3,13,NA,NA,NA,NA,10  ≠  16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_01,BAR,Shallow,2024-08-19,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bare rock  ≠  Colonial tunicate,Colonial tunicate  ≠  Bare rock,NA
REC_01,BAR,Shallow,2024-08-19,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Articulated coralline,Stephanocystis  ≠  Encrusting red,Articulated coralline  ≠  Stephanocystis,NA
REC_01,BAR,Shallow,2024-08-19,1,28,9  ≠  14,NA,NA,NA,1  ≠  4,NA,0  ≠  4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,13  ≠  7,24  ≠  7,NA,NA,Articulated coralline  ≠  Crustose coralline,NA,NA,NA,NA,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Bare rock,NA
REC_01,BAR,Deep,2024-08-19,4,22,10  ≠  18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,INCIP,Shallow,2024-08-07,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,NA
REC_02,INCIP,Shallow,2024-08-07,1,28,0  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,INCIP,Shallow,2024-08-07,2,13,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,INCIP,Shallow,2024-08-07,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Stephanocystis,Stephanocystis  ≠  Bare sand,NA,NA,NA
REC_02,INCIP,Deep,2024-08-07,1,24,NA,NA,0  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,BAR,Shallow,2024-08-05,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Fleshy red,Articulated coralline  ≠  Crustose coralline,Dodecaceria spp.  ≠  Crustose coralline,Hydroids  ≠  Articulated coralline,NA
REC_02,BAR,Shallow,2024-08-05,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Articulated coralline,Crustose coralline  ≠  Articulated coralline,Crustose coralline  ≠  Dodecaceria spp.,Articulated coralline  ≠  Hydroids,NA
REC_02,BAR,Shallow,2024-08-05,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Stephanocystis,Encrusting red  ≠  Desmarestia spp.,Dodecaceria spp.  ≠  Desmarestia spp.,NA,NA,NA,Colonial tunicate  ≠  Dodecaceria spp.,NA
REC_02,BAR,Shallow,2024-08-05,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephanocystis  ≠  Encrusting red,Desmarestia spp.  ≠  Encrusting red,Desmarestia spp.  ≠  Dodecaceria spp.,NA,NA,NA,Dodecaceria spp.  ≠  Colonial tunicate,NA
REC_02,BAR,Shallow,2024-08-05,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Articulated coralline,NA,NA
REC_02,FOR,Shallow,2024-08-05,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red turf - < 2 cm  ≠  Fleshy red,NA,Lam. Holdfast - Live  ≠  Red turf - < 2 cm,Sponge  ≠  Lam. Holdfast - Live,Bare rock  ≠  Sponge,NA,Fleshy red  ≠  Bare rock,NA
REC_02,FOR,Shallow,2024-08-05,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  1,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,FOR,Shallow,2024-08-05,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barnacle  ≠  Encrusting red,Encrusting red  ≠  Barnacle,NA
REC_01,INCIP,Deep,2024-08-26,1,24,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_01,INCIP,Deep,2024-08-26,1,24,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_01,INCIP,Deep,2024-08-26,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Sponge,NA
REC_01,INCIP,Deep,2024-08-26,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Sponge,NA
REC_01,INCIP,Deep,2024-08-26,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sponge  ≠  Encrusting red,NA
REC_01,INCIP,Deep,2024-08-26,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sponge  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,NA
REC_01,INCIP,Deep,2024-08-26,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Sponge,NA
REC_01,INCIP,Shallow,2024-08-26,2,11,20  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_01,INCIP,Shallow,2024-08-26,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,Articulated coralline  ≠  Fleshy red,Articulated coralline  ≠  Encrusting red,NA,NA,Encrusting red  ≠  Tubeworm - Other Solitary,NA
REC_01,INCIP,Shallow,2024-08-26,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Crustose coralline,Fleshy red  ≠  Crustose coralline,Fleshy red  ≠  Crustose coralline,Fleshy red  ≠  Articulated coralline,Encrusting red  ≠  Articulated coralline,NA,NA,Tubeworm - Other Solitary  ≠  Encrusting red,NA
REC_01,INCIP,Shallow,2024-08-26,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55  ≠  5,NA,NA,Crustose coralline  ≠  Articulated coralline,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Encrusting red,NA,NA,NA
REC_01,INCIP,Shallow,2024-08-26,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,NA,NA,NA
REC_01,INCIP,Shallow,2024-08-26,2,9,NA,NA,NA,NA,NA,4  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_01,INCIP,Shallow,2024-08-26,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Articulated coralline,Articulated coralline  ≠  Encrusting red,NA,NA
REC_02,FOR,Deep,2024-08-05,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10  ≠  16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_02,FOR,Deep,2024-08-05,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Desmarestia spp.  ≠  Dodecaceria spp.,NA
REC_02,FOR,Deep,2024-08-05,3,9,NA,NA,NA,NA,NA,2  ≠  4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12  ≠  2,3  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bedrock (> 1 m)  ≠  Boulder (10 cm - 1 m)
REC_03,BAR,Shallow,2024-06-25,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lam. Holdfast - Live  ≠  Mac. holdfast - Live,Mac. holdfast - Live  ≠  Lam. Holdfast - Live,NA
REC_03,BAR,Shallow,2024-06-25,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Lam. Holdfast - Live,NA
REC_03,BAR,Shallow,2024-06-25,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  20,1  ≠  5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6  ≠  30,3  ≠  15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,2,7,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  10,7  ≠  4,NA,NA,NA,NA,NA,NA,Other anemone  ≠  Cup Corals,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  10,1  ≠  5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  10,1  ≠  5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Shallow,2024-06-25,3,9,NA,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  20,4  ≠  20,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Articulated coralline,Crustose coralline  ≠  Articulated coralline,NA
REC_03,BAR,Shallow,2024-06-25,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  10,6  ≠  30,NA,NA,NA,NA,NA,NA,Red turf - < 2 cm  ≠  Encrusting red,NA,NA,NA
REC_03,BAR,Deep,2024-06-25,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Deep,2024-06-25,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,BAR,Deep,2024-06-25,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mac. holdfast - Live  ≠  Lam. Holdfast - Live,NA,NA,NA
REC_03,BAR,Deep,2024-06-25,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,4,28,1  ≠  6,NA,NA,NA,1  ≠  0,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,4,26,11  ≠  15,NA,11  ≠  15,NA,0  ≠  3,NA,0  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,3,13,10  ≠  4,NA,10  ≠  4,NA,0  ≠  1,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,3,11,4  ≠  6,NA,4  ≠  2,NA,0  ≠  1,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,1,28,6  ≠  1,NA,NA,NA,0  ≠  1,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,1,26,15  ≠  11,NA,15  ≠  11,NA,4  ≠  0,NA,4  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,2,13,4  ≠  10,NA,4  ≠  10,NA,1  ≠  0,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Encrusting red,Articulated coralline  ≠  Encrusting red,NA
REC_03,FOR,Deep,2024-07-02,2,11,6  ≠  4,NA,2  ≠  4,NA,1  ≠  0,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,Articulated coralline  ≠  Crustose coralline,NA,NA,Crustose coralline  ≠  Articulated coralline,Crustose coralline  ≠  Articulated coralline,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14  ≠  72,12  ≠  60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14  ≠  70,8  ≠  40,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Articulated coralline,Encrusting red  ≠  Articulated coralline,NA
REC_03,FOR,Deep,2024-07-02,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Articulated coralline,NA,NA
REC_03,FOR,Deep,2024-07-02,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  20,2  ≠  10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6  ≠  30,3  ≠  15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Deep,2024-07-02,3,9,NA,4  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  30,0  ≠  40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3  ≠  4,NA,NA,NA,NA,0  ≠  Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,1,26,NA,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,5  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,5  ≠  0,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,FOR,Shallow,2024-06-25,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25  ≠  15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,INCIP,Shallow,2024-07-02,2,9,NA,NA,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REC_03,INCIP,Shallow,2024-07-02,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,NA
REC_03,INCIP,Shallow,2024-07-02,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Encrusting red,NA,NA,NA,NA,NA,NA
REC_03,INCIP,Shallow,2024-07-02,3,7,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
