site,site_type,zone,survey_date,transect,quadrat,purple_urchins_raw_diff,purple_quadrants_sampled_raw_diff,purple_conceiled_raw_diff,purple_disease_raw_diff,red_urchins_raw_diff,red_quadrants_sampled_raw_diff,red_conceiled_raw_diff,red_disease_raw_diff,lamr_raw_diff,macr_raw_diff,macj_raw_diff,nerj_raw_diff,ptej_raw_diff,lsetj_raw_diff,eisj_raw_diff,tegula_raw_diff,tegula_quadrants_sampled_raw_diff,pomaulax_raw_diff,pomaulax_quadrants_sampled_raw_diff,relief_raw_diff,risk_raw_diff,drift_superlayer_raw_diff,upc1_raw_diff,upc2_raw_diff,upc3_raw_diff,upc4_raw_diff,upc5_raw_diff,upc6_raw_diff,upc7_raw_diff,upc8_raw_diff,substrate_raw_diff,resolved
REC_05,BAR,Shallow,2025-06-09,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3  ≠  6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Shallow,2025-06-09,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Shallow,2025-06-09,4,24,12  ≠  34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,6  ≠  7,2  ≠  5,NA,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,Encrusting red  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,Desmarestia spp.  ≠  Crustose coralline,Fleshy red  ≠  Crustose coralline,Fleshy red  ≠  Encrusting red,NA,
REC_05,BAR,Shallow,2025-06-09,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,NA,Encrusting red  ≠  Crustose coralline,Encrusting red  ≠  Crustose coralline,Desmarestia spp.  ≠  Encrusting red,Fleshy red  ≠  Encrusting red,Fleshy red  ≠  Desmarestia spp.,NA,
REC_05,BAR,Shallow,2025-06-09,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21  ≠  12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_05,BAR,Deep,2025-06-09,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,FOR,Shallow,2025-06-10,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,FOR,Shallow,2025-06-10,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,FOR,Shallow,2025-06-10,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,FOR,Shallow,2025-06-10,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,FOR,Shallow,2025-06-10,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,INCIP,Deep,2025-06-10,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,INCIP,Shallow,2025-06-10,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,24  ≠  25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_12,BAR,Shallow,2025-06-17,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stephanocystis  ≠  Dictyoneurum spp.,Stephanocystis  ≠  Dictyoneurum spp.,NA,
REC_03,FOR,Shallow,2025-06-17,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,FOR,Shallow,2025-06-17,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,FOR,Shallow,2025-06-17,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bare rock  ≠  Bare sand,Bare rock  ≠  Bare sand,NA,
REC_03,INCIP,Deep,2025-06-18,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  11,NA,2  ≠  11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,INCIP,Deep,2025-06-18,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,FOR,Deep,2025-06-18,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boulder (10 cm - 1 m)  ≠  Sand,
REC_03,FOR,Deep,2025-06-18,2,9,NA,NA,10  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_11,FOR,Shallow,2025-06-23,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_11,FOR,Shallow,2025-06-23,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shell Debris  ≠  Bare sand,Shell Debris  ≠  Bare sand,NA,NA,NA,NA,Bare sand  ≠  Shell Debris,Bare sand  ≠  Shell Debris,NA,
REC_11,FOR,Deep,2025-06-23,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Dictyota/Dictyopteris,NA,Dictyota/Dictyopteris  ≠  Encrusting red,NA,
REC_01,BAR,Deep,2025-06-23,4,24,NA,NA,NA,NA,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_01,BAR,Deep,2025-06-23,4,22,14  ≠  17,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_01,BAR,Deep,2025-06-23,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  2,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,NA,
REC_01,BAR,Deep,2025-06-23,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,NA,
REC_01,BAR,Deep,2025-06-23,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,Fleshy red  ≠  Crustose coralline,Articulated coralline  ≠  Crustose coralline,Crustose coralline  ≠  Articulated coralline,NA,NA,
REC_01,BAR,Shallow,2025-06-24,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,NA,
REC_01,BAR,Shallow,2025-06-24,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,NA,NA,
REC_01,BAR,Shallow,2025-06-24,2,13,31  ≠  11,NA,3  ≠  5,NA,3  ≠  10,NA,3  ≠  7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6  ≠  13,1  ≠  20,NA,NA,NA,NA,Crustose coralline  ≠  Corynactis californica,Articulated coralline  ≠  Cup Corals,Articulated coralline  ≠  Sponge,Encrusting red  ≠  Sponge,NA,NA,
REC_01,BAR,Shallow,2025-06-24,2,9,27  ≠  23,NA,0  ≠  2,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37  ≠  14,NA,NA,NA,6  ≠  12,3  ≠  53,NA,NA,NA,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Encrusting red,Articulated coralline  ≠  Encrusting red,Articulated coralline  ≠  Encrusting red,Dodecaceria spp.  ≠  Encrusting red,Sponge  ≠  Encrusting red,NA,
REC_02,INCIP,Deep,2025-06-24,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,INCIP,Deep,2025-06-24,3,13,18  ≠  10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,INCIP,Deep,2025-06-24,2,13,NA,NA,NA,NA,2  ≠  0,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,INCIP,Deep,2025-06-24,1,26,NA,NA,NA,NA,NA,NA,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
