site,site_type,zone,survey_date,transect,quadrat,purple_urchins_raw_diff,purple_quadrants_sampled_raw_diff,purple_conceiled_raw_diff,purple_disease_raw_diff,red_urchins_raw_diff,red_quadrants_sampled_raw_diff,red_conceiled_raw_diff,red_disease_raw_diff,lamr_raw_diff,macr_raw_diff,macj_raw_diff,nerj_raw_diff,ptej_raw_diff,lsetj_raw_diff,eisj_raw_diff,tegula_raw_diff,tegula_quadrants_sampled_raw_diff,pomaulax_raw_diff,pomaulax_quadrants_sampled_raw_diff,relief_raw_diff,risk_raw_diff,drift_superlayer_raw_diff,upc1_raw_diff,upc2_raw_diff,upc3_raw_diff,upc4_raw_diff,upc5_raw_diff,upc6_raw_diff,upc7_raw_diff,upc8_raw_diff,substrate_raw_diff,resolved
REC_02,INCIP,Shallow,2025-06-24,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23  ≠  13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,INCIP,Shallow,2025-06-24,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dictyoneurum spp.  ≠  Dictyota/Dictyopteris,NA,
REC_02,INCIP,Shallow,2025-06-24,4,22,NA,NA,0  ≠  5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,INCIP,Shallow,2025-06-24,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  2,NA,0  ≠  9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_10,INCIP,Deep,2025-06-25,2,9,NA,NA,NA,NA,NA,NA,0  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_10,INCIP,Deep,2025-06-25,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2  ≠  0,NA,9  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_10,INCIP,Deep,2025-06-25,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  1,0  ≠  2,NA,NA,NA,NA,0  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_10,INCIP,Deep,2025-06-25,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  0,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,BAR,Shallow,2025-07-01,3,11,NA,NA,0  ≠  9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,BAR,Shallow,2025-07-01,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Articulated coralline,Fleshy red  ≠  Articulated coralline,NA,NA,Articulated coralline  ≠  Lam. Holdfast - Live,Articulated coralline  ≠  Petaloconchus,Lam. Holdfast - Live  ≠  Fleshy red,Petaloconchus  ≠  Fleshy red,NA,
REC_02,BAR,Shallow,2025-07-01,1,24,NA,NA,NA,2  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,BAR,Shallow,2025-07-01,4,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,BAR,Shallow,2025-07-01,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,BAR,Shallow,2025-07-01,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,BAR,Shallow,2025-07-01,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,FOR,Shallow,2025-07-01,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60  ≠  75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_02,FOR,Shallow,2025-07-01,4,24,31  ≠  35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_01,INCIP,Shallow,2025-07-08,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8  ≠  85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_01,FOR,Shallow,2025-07-08,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_01,FOR,Deep,2025-07-08,4,24,NA,NA,NA,NA,NA,NA,4  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_01,FOR,Deep,2025-07-08,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,Crustose coralline  ≠  Articulated coralline,NA,NA,NA,NA,NA,NA,
REC_05,INCIP,Deep,2025-07-09,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,FOR,Deep,2025-07-14,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,Articulated coralline  ≠  Crustose coralline,Desmarestia spp.  ≠  Articulated coralline,Fleshy red  ≠  Desmarestia spp.,NA,
REC_04,BAR,Shallow,2025-07-14,2,13,NA,NA,NA,NA,NA,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,BAR,Deep,2025-07-15,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1  ≠  2,1  ≠  2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,BAR,Deep,2025-07-15,3,7,14  ≠  39,NA,0  ≠  17,NA,2  ≠  1,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,9  ≠  4,NA,1  ≠  2,NA,1  ≠  5,1  ≠  10,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,NA,NA,NA,Diopatra / Chaetopterus  ≠  Encrusting red,NA,
REC_03,BAR,Deep,2025-07-15,3,7,NA,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,BAR,Deep,2025-07-15,1,26,NA,4  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Bare rock,NA,NA,
REC_03,BAR,Deep,2025-07-15,2,7,10  ≠  8,NA,7  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  2,3  ≠  2,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,NA,NA,Crustose coralline  ≠  Articulated coralline,Crustose coralline  ≠  Encrusting red,NA,
REC_03,BAR,Shallow,2025-07-15,4,24,NA,4  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_03,BAR,Shallow,2025-07-15,3,13,NA,4  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_04,BAR,Deep,2025-07-14,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red turf - < 2 cm  ≠  Encrusting red,Red turf - < 2 cm  ≠  Encrusting red,NA,
REC_05,INCIP,Shallow,2025-07-21,4,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Encrusting red,Crustose coralline  ≠  Desmarestia spp.,Encrusting red  ≠  Desmarestia spp.,Encrusting red  ≠  Desmarestia spp.,Stephanocystis  ≠  Lam. Holdfast - Live,Dictyoneurum spp.  ≠  Lam. Holdfast - Live,Other anemone  ≠  Colonial tunicate,NA,
REC_05,INCIP,Shallow,2025-07-21,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,NA,NA,Other anemone  ≠  Encrusting red,Barnacle  ≠  Encrusting red,Bedrock (> 1 m)  ≠  Boulder (10 cm - 1 m),
REC_05,INCIP,Shallow,2025-07-21,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fleshy red  ≠  Crustose coralline,NA,Crustose coralline  ≠  Desmarestia spp.,Crustose coralline  ≠  Desmarestia spp.,Crustose coralline  ≠  Desmarestia spp.,Articulated coralline  ≠  Mac. holdfast - Live,NA,
REC_05,INCIP,Shallow,2025-07-21,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20  ≠  30,NA,Crustose coralline  ≠  Fleshy red,NA,Crustose coralline  ≠  Encrusting red,Crustose coralline  ≠  Desmarestia spp.,Crustose coralline  ≠  Desmarestia spp.,Articulated coralline  ≠  Desmarestia spp.,Encrusting red  ≠  Desmarestia spp.,NA,NA,
REC_05,FOR,Deep,2025-07-21,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dodecaceria spp.  ≠  Salmacina,Dodecaceria spp.  ≠  Salmacina,NA,
REC_05,FOR,Deep,2025-07-21,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boulder (10 cm - 1 m)  ≠  Bedrock (> 1 m),
REC_01,INCIP,Deep,2025-07-21,1,28,NA,NA,NA,NA,1  ≠  4,NA,1  ≠  0,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  25,NA,NA,NA,9  ≠  18,12  ≠  19,NA,Crustose coralline  ≠  Fleshy red,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Dodecaceria spp.,NA,
REC_14,FOR,Shallow,2025-07-29,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Encrusting red  ≠  Crustose coralline,Dictyota/Dictyopteris  ≠  Encrusting red,NA,
REC_14,FOR,Shallow,2025-07-29,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dictyoneurum spp.  ≠  Dictyota/Dictyopteris,Dictyoneurum spp.  ≠  Dictyota/Dictyopteris,NA,NA,
REC_13,BAR,Deep,2025-07-29,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_07,BAR,Shallow,2025-08-04,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bare sand  ≠  Encrusting red,NA,Encrusting red  ≠  Bare sand,NA,
REC_07,BAR,Shallow,2025-08-04,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0  ≠  1,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_06,FOR,Deep,2025-08-04,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bare sand  ≠  Barnacle,Barnacle  ≠  Bare sand,NA,NA,NA,
REC_06,FOR,Shallow,2025-08-04,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Articulated coralline  ≠  Crustose coralline,Articulated coralline  ≠  Crustose coralline,NA,NA,
REC_06,FOR,Shallow,2025-08-04,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4  ≠  3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
REC_07,INCIP,Shallow,2025-08-06,1,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Colonial tunicate,NA,
REC_07,INCIP,Shallow,2025-08-06,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,Crustose coralline  ≠  Fleshy red,NA,NA,NA,NA,NA,NA,
